
                                             CodeAnalysis
    ==============================================================================================
     Mon Feb  6 04:24:23 2017
     Path: "C:\Users\Komal\Documents\GitHub\ObjectOrientedAnalysisDesign\Solution1"
     Args: *.h, *.cpp, *.cs, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
                  test.cpp    function                              toXml     615     100       3
                  test.cpp    function                            fromXml     717      71       5

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
         xmlElementParts.h       class                           XmlParts      73      23      23
         xmlElementParts.h    function                           XmlParts      96       2       1
         xmlElementParts.h    function                             length      98       2       1
         xmlElementParts.h    function                            verbose     100       2       1
         xmlElementParts.h    function                              clear     102       2       1
         xmlElementParts.h    function                          push_back     106       3       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
       xmlElementParts.cpp    function                           XmlParts      18       2       1
       xmlElementParts.cpp    function                          ~XmlParts      23       2       1
       xmlElementParts.cpp    function                       isTerminator      28       7       1
       xmlElementParts.cpp    function                                get      39      29       5
       xmlElementParts.cpp    function                         operator[]      71       5       1
       xmlElementParts.cpp    function                               show      79       9       1
       xmlElementParts.cpp    function                               find      92       6       1
       xmlElementParts.cpp    function                             remove     101      10       2
       xmlElementParts.cpp    function                          trimFront     114       4       1
       xmlElementParts.cpp    function                            toLower     121       9       3
       xmlElementParts.cpp      lambda                                [])     136      33       5

                          Functions Exceeding Metric Limits and Public Data
    ==============================================================================================
                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                 NoSqlDb.h    function                            fromXML     243      69       5
               NoSqlDb.cpp    function                               main      29     187      11
                 Persi.cpp    function                               main     238      62       2
           Persistance.cpp    function                            fromXml      55      74       5
           Persistance.cpp    function                              toXml     129     102       3
           Persistance.cpp    function                               main     235      62       2
                  Test.cpp    function                          ParseFile     118      59       6
                  test.cpp    function                               main      33     454      28
                  test.cpp    function            DemonstrateRequirement2     488      55       1
                  test.cpp    function                              toXml     615     100       3
                  test.cpp    function                            fromXml     717      71       5



    searched    76 dirs
   processed    38 files
